kind,setting_name,model_name,dam_n,distance_rank,layer,mean_pairwise_cosine_distance_mean,gen_accuracy_mean,ident_accuracy_mean
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,6,1,layer_1,0.004316388912321263,7.5,22.5
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,6,2,layer_2,0.011764694230573752,9.25,66.5
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,6,3,layer_3,0.022406191430571175,8.0,93.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,6,4,layer_4,0.04696781312528442,9.0,99.5
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,6,5,layer_9,0.05194604199636976,16.0,62.5
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,6,6,layer_8,0.06262455669869482,10.25,93.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,6,7,layer_5,0.08159764556042544,7.5,100.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,6,8,layer_7,0.08776422503840206,6.75,100.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,6,9,layer_6,0.0994009790013222,4.75,100.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,6,10,layer_10,0.11812635938697931,32.5,46.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,6,11,layer_11,0.44581541515747575,58.75,56.5
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,8,0,layer_0,0.004249250804563313,8.25,6.5
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,8,1,layer_1,0.004316388912321263,8.25,22.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,8,2,layer_2,0.011764694230573752,8.5,67.5
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,8,3,layer_3,0.022406191430571175,8.5,93.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,8,4,layer_4,0.04696781312528442,9.25,99.5
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,8,5,layer_9,0.05194604199636976,17.25,61.5
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,8,6,layer_8,0.06262455669869482,10.25,92.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,8,7,layer_5,0.08159764556042544,7.75,100.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,8,8,layer_7,0.08776422503840206,7.0,100.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,8,9,layer_6,0.0994009790013222,4.75,100.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,8,10,layer_10,0.11812635938697931,32.5,46.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,8,11,layer_11,0.44581541515747575,58.25,56.0
