model_name,seed,metric,preprocess_mode,task_mode,pooling,n_per_color,run_n_per_color,n_stored_per_color,square_size,ident_noise_std,ident_max_shift,ident_occlusion_frac,ident_decision_noise_std,color_only_jitter_std,layer,ident_accuracy,ident_avg_target_sim,ident_avg_best_wrong_sim,ident_avg_margin,gen_accuracy,gen_avg_target_sim,gen_avg_best_wrong_sim,gen_avg_margin,avg_margin
vit_base_patch16_224,0,cosine,l2_only,position_only,mean_tokens,12,72,2,56,5.0,2,0.5,0.01,0.0,layer_11,50.0,0.9386938161788608,0.9391922888307935,-0.0004984726519327576,52.85714285714286,0.9798465140679062,0.9790465129993273,0.0008000010685787389,0.00015076420832299065
vit_base_patch16_224,0,cosine,l2_only,position_only,mean_tokens,12,72,2,56,5.0,2,0.5,0.01,0.0,layer_6,50.0,0.9043804109087483,0.9050090312948713,-0.0006286203861229911,51.42857142857142,0.9695373921865534,0.9689634140610016,0.000573978125551671,-2.7321130285660046e-05
vit_base_patch16_224,0,cosine,l2_only,position_only,mean_tokens,12,72,4,56,5.0,2,0.5,0.01,0.0,layer_0,0.0,0.9592138666426119,0.9592735159884327,-5.9649345820866895e-05,60.29411764705882,0.9993416745764857,0.9992928890501469,4.8785526339003965e-05,-5.431909740931465e-06
vit_base_patch16_224,0,cosine,l2_only,position_only,mean_tokens,12,72,4,56,5.0,2,0.5,0.01,0.0,layer_11,0.0,0.9340147041347261,0.9408658690541463,-0.006851164919420227,36.76470588235294,0.9795689949836713,0.9901368447554032,-0.010567849771732024,-0.008709507345576125
vit_base_patch16_224,0,cosine,l2_only,position_only,mean_tokens,12,72,4,56,5.0,2,0.5,0.01,0.0,layer_6,25.0,0.8946612872987794,0.9049535812985662,-0.010292293999787011,35.294117647058826,0.9691538375651637,0.9822522941228693,-0.013098456557705678,-0.011695375278746345
vit_base_patch16_224,0,cosine,l2_only,position_only,mean_tokens,12,72,6,56,5.0,2,0.5,0.01,0.0,layer_0,0.0,0.9614239522358784,0.961762307947267,-0.0003383557113887936,51.515151515151516,0.9993782395555402,0.9993853866944282,-7.147138888032665e-06,-0.00017275142513841315
vit_base_patch16_224,0,cosine,l2_only,position_only,mean_tokens,12,72,6,56,5.0,2,0.5,0.01,0.0,layer_11,0.0,0.9389912841765721,0.9454014054546093,-0.00641012127803714,31.818181818181817,0.9787942407928968,0.9915362222761411,-0.012741981483244253,-0.009576051380640696
vit_base_patch16_224,0,cosine,l2_only,position_only,mean_tokens,12,72,6,56,5.0,2,0.5,0.01,0.0,layer_6,16.666666666666664,0.8984276097696,0.9091024128307628,-0.010674803061162771,33.33333333333333,0.9697478812489839,0.9835032718037321,-0.013755390554747874,-0.012215096807955322
vit_base_patch16_clip_224.openai,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,5.0,2,0.5,0.01,0.0,layer_0,0.0,0.9876503390196728,0.9892574934879779,-0.0016071544683048482,50.0,0.9979543883824366,0.9982062368659375,-0.0002518484835008883,-0.0009295014759028682
vit_base_patch16_clip_224.openai,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,5.0,2,0.5,0.01,0.0,layer_11,16.666666666666664,0.8160395697132784,0.8292416133263232,-0.013202043613044853,53.333333333333336,0.9539697005879202,0.9531344663446303,0.0008352342432898822,-0.0061834046848774854
