model_name,seed,metric,preprocess_mode,task_mode,pooling,n_per_color,run_n_per_color,n_stored_per_color,square_size,ident_noise_std,ident_max_shift,ident_occlusion_frac,ident_decision_noise_std,color_only_jitter_std,layer,ident_accuracy,ident_avg_target_sim,ident_avg_best_wrong_sim,ident_avg_margin,gen_accuracy,gen_avg_target_sim,gen_avg_best_wrong_sim,gen_avg_margin,avg_margin
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,mean_tokens,12,12,2,56,5.0,2,0.5,0.01,0.0,layer_11,0.0,0.9291455199321111,0.934692770242691,-0.005547250310579936,58.333333333333336,0.9950689901908238,0.9951618959506353,-9.290575981140137e-05,-0.0028200780351956686
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,mean_tokens,12,12,2,56,5.0,2,0.5,0.01,0.0,layer_6,0.0,0.8608033309380213,0.8718497256437937,-0.0110463947057724,58.333333333333336,0.9912859976291657,0.9904922763506572,0.0007937212785085042,-0.005126336713631948
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,mean_tokens,12,12,4,56,5.0,2,0.5,0.01,0.0,layer_0,4.166666666666666,0.9639301374554634,0.9651321073373159,-0.0012019698818524678,58.333333333333336,0.9983961644272009,0.9983401608963808,5.600353082021078e-05,-0.0005729831755161285
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,mean_tokens,12,12,4,56,5.0,2,0.5,0.01,0.0,layer_11,4.166666666666666,0.9307376941045126,0.9378582065304121,-0.007120512425899506,37.5,0.9949745610356331,0.996033833672603,-0.0010592726369698842,-0.004089892531434695
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,mean_tokens,12,12,4,56,5.0,2,0.5,0.01,0.0,layer_6,8.333333333333332,0.865779255827268,0.8804681450128555,-0.014688889185587565,37.5,0.9908420629799366,0.9927623694141706,-0.0019203064342339833,-0.008304597809910774
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,mean_tokens,12,12,6,56,5.0,2,0.5,0.01,0.0,layer_0,2.7777777777777777,0.9641592866844602,0.9656502968735166,-0.0014910101890563965,69.44444444444444,0.998790861831771,0.9985630893045001,0.00022777252727084688,-0.0006316188308927747
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,mean_tokens,12,12,6,56,5.0,2,0.5,0.01,0.0,layer_11,2.7777777777777777,0.9283273551199172,0.9357460174295638,-0.0074186623096466064,22.22222222222222,0.9946637054284414,0.9960545516676373,-0.0013908462391959296,-0.004404754274421268
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,mean_tokens,12,12,6,56,5.0,2,0.5,0.01,0.0,layer_6,2.7777777777777777,0.862537349263827,0.8782598260376189,-0.015722476773791842,25.0,0.9907210485802757,0.993195331758923,-0.0024742831786473594,-0.0090983799762196
vit_base_patch16_224,0,cosine,l2_only,color_only,mean_tokens,12,12,2,56,5.0,2,0.5,0.01,8.0,layer_0,0.0,0.9631103326876959,0.9641927083333334,-0.0010823756456375122,90.0,0.9999860246976217,0.9999664574861526,1.9567211469014487e-05,-0.0005314042170842489
vit_base_patch16_224,0,cosine,l2_only,color_only,mean_tokens,12,12,2,56,5.0,2,0.5,0.01,8.0,layer_11,0.0,0.9310178110996882,0.934627557794253,-0.0036097466945648193,93.33333333333333,0.9998059878746669,0.9994630138079326,0.00034297406673431394,-0.0016333863139152526
