category,model_name,pooling,layer,corruption_mode,occlusion_frac,decision_noise_std,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_splits,n_qualifying_splits,mean_qualifying_fraction,mean_ident_accuracy_baseline,std_ident_accuracy_baseline,mean_ident_accuracy_dam,std_ident_accuracy_dam,mean_ident_accuracy_delta,std_ident_accuracy_delta,mean_gen_accuracy_baseline,std_gen_accuracy_baseline,mean_gen_accuracy_dam,std_gen_accuracy_dam,mean_gen_accuracy_delta,std_gen_accuracy_delta,mean_gen_avg_margin_delta,std_gen_avg_margin_delta,mean_gen_avg_human_similarity_regret_delta,std_gen_avg_human_similarity_regret_delta,mean_probe_rdm_spearman_delta,std_probe_rdm_spearman_delta,mean_cue_recovered_cosine,std_cue_recovered_cosine,mean_cue_displacement,std_cue_displacement,mean_target_pull_gain,std_target_pull_gain
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.05,0.02,0.05,1,10,4,0.4,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.125,6.047985201701473,1.2499999999999993,4.366062299143245,0.09256313967445748,0.018430836928756487,-0.013706250000000003,0.01961444381699364,0.1465814098881615,0.03075043411305778,0.9998253059294848,6.468008319738603e-06,0.00017469407051533977,6.468008319740703e-06,0.0005989562921074429,0.00014079940835757978
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.05,0.02,0.05,2,10,4,0.4,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.25,5.947688626685159,1.375,4.382137035739526,0.09246527550232712,0.018482397910881035,-0.013506250000000003,0.01969635118492763,0.1469002609436151,0.030644136098208652,0.9996485291993578,1.3367635181772718e-05,0.00035147080064219436,1.3367635181781967e-05,0.001190853288689002,0.00024457830086386715
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.05,0.02,0.05,3,10,4,0.4,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.25,5.947688626685159,1.375,4.382137035739526,0.09236278284282888,0.01846897420680082,-0.013668750000000002,0.019602072594498778,0.14740987627623736,0.03086577268866346,0.9994694873356297,1.7098325679198123e-05,0.0005305126643702459,1.7098325679199305e-05,0.0017561479307509642,0.0003449172661733554
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.05,0.02,0.05,5,10,4,0.4,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.25,5.947688626685159,1.375,4.382137035739526,0.09220748615975026,0.018533158291650885,-0.014068750000000001,0.019420253602875533,0.14831247899546135,0.0303796303762851,0.9991055599833357,2.2771036164860487e-05,0.0008944400166642351,2.277103616485124e-05,0.0030006235029636026,0.0006323120480620593
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.05,0.02,0.05,8,10,5,0.5,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.25,6.378675411086538,1.3749999999999987,4.310234912391667,0.09196184255648404,0.018593317143733863,-0.014356250000000006,0.019432652128569584,0.14981060564925472,0.03047431922219937,0.9985419346726138,3.234348552865644e-05,0.0014580653273861877,3.2343485528618536e-05,0.004860174685220774,0.00096133656643529
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.05,0.05,0.0,1,10,5,0.5,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.5,6.128825336065631,1.625,4.367851302414037,0.09231627720635971,0.018442169168462922,-0.014893750000000002,0.019298534594626608,0.14659561701670426,0.030591551273762844,0.9989164456869718,4.0476369634292375e-05,0.0010835543130281308,4.0476369634290613e-05,0.0012070914196330644,0.0003231792650209568
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.05,0.05,0.0,2,10,5,0.5,89.25,3.020761493398643,93.25,3.2691742076555053,4.0,2.7838821814150108,57.875,7.094231811831356,59.5,6.128825336065631,1.625,4.367851302414037,0.09200174650000235,0.018558695310755918,-0.014656250000000001,0.019452425941254733,0.14730031247225453,0.030322443826929366,0.9978252411926599,8.471312278294786e-05,0.0021747588073400188,8.471312278296244e-05,0.00239049766722588,0.000539958404784963
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.05,0.05,0.0,3,10,5,0.5,89.25,3.020761493398643,93.25,3.2691742076555053,4.0,2.7838821814150108,57.875,7.094231811831356,59.375,6.281172263200558,1.4999999999999993,4.322904116447646,0.09164871753557237,0.018502899392963252,-0.014793750000000003,0.019308895294656295,0.14850127538011065,0.030810317521161767,0.9967270593896769,0.00011110175199355734,0.0032729406103230536,0.00011110175199355184,0.003505263189387313,0.0007546281271537693
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.05,0.05,0.0,5,10,4,0.4,89.25,3.020761493398643,93.5,3.43693177121688,4.25,2.692582403567252,57.875,7.094231811831356,59.25,6.8053287944081,1.375,4.625,0.09108376691161538,0.018627472706206016,-0.01470625,0.01920436555187387,0.15086055260034387,0.02979235163953416,0.994506155400973,0.00015773754784715748,0.005493844599027116,0.00015773754784713593,0.006005509547156501,0.0013910381070574242
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.05,0.05,0.0,8,10,4,0.4,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.25,6.378675411086538,1.3749999999999987,3.8507304501873407,0.09020462804881389,0.018730246163636246,-0.014118750000000003,0.01911174377182783,0.15414219496887055,0.030364618997131925,0.9911201536041263,0.0002260393554570878,0.008879846395873728,0.00022603935545708814,0.009704065751718314,0.0020540434159271354
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.05,0.05,0.05,1,10,5,0.5,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.5,6.128825336065631,1.625,4.367851302414037,0.09231528256231741,0.01844200500869262,-0.014893750000000002,0.019298534594626608,0.14659836400285053,0.030577910876033586,0.9989107095295285,4.0606516613614616e-05,0.0010892904704715408,4.060651661362842e-05,0.0012043533849697562,0.0003231705939066928
